type	boundary	emissionsSector	economicSector	endUser	source	activity	emissions	energy	emissionsAbatement	natural	unit	bau2018	bau2019	bau2020	bau2021	bau2022	bau2023	bau2024	bau2025	bau2026	bau2027	bau2028	bau2029	znet2018	znet2019	znet2020	znet2021	znet2022	znet2023	znet2024	znet2025	znet2026	znet2027	znet2028	znet2029	bauEnergy2018	bauEnergy2019	bauEnergy2020	bauEnergy2021	bauEnergy2022	bauEnergy2023	bauEnergy2024	bauEnergy2025	bauEnergy2026	bauEnergy2027	bauEnergy2028	bauEnergy2029	znetEnergy2018	znetEnergy2019	znetEnergy2020	znetEnergy2021	znetEnergy2022	znetEnergy2023	znetEnergy2024	znetEnergy2025	znetEnergy2026	znetEnergy2027	znetEnergy2028	znetEnergy2029
emissions	Included	Stationary Energy	Commercial	Local	Gas (mains)	Commercial Heating	1751	31.6	0	32	TJ	1751	1786	1821	1858	1895	1933	1972	2011	2051	2092	2134	2177	1751	1786	1821	1858	1895	1933	1972	2011	2051	2092	2134	2177	32	32	33	34	34	35	36	36	37	38	39	39	32	32	33	34	34	35	36	36	37	38	39	39
emissions	Included	Stationary Energy	Commercial	Local	Gas (mains)	Commercial Hot Water	760	13.7	0	14	TJ	760	775	791	807	823	839	856	873	890	908	926	945	760	775	791	807	823	839	856	873	890	908	926	945	14	14	14	15	15	15	15	16	16	16	17	17	14	14	14	15	15	15	15	16	16	16	17	17
emissions	Included	Stationary Energy	Commercial	Local	Gas (bottled)	Commercial Cooking	0	0	0	0	TJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emissions	Included	Stationary Energy	Commercial	Local	Gas (bottled)	Commercial Heating	0	0	0	0	TJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emissions	Included	Stationary Energy	Commercial	Local	Gas (bottled)	Commercial Hot Water	0	0	0	0	TJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emissions	Included	Stationary Energy	Commercial	Local	Solar	Renewable electricity consumed on site	0	2.4	758	653	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	-79	-479	-1870	-3262	-3662	-3729	-3739	-3741	-3741	-3741	-3741	653	653	653	653	653	653	653	653	653	653	653	653	2	3	4	7	11	12	12	12	12	12	12	12
emissions	Included	Stationary Energy	Commercial	Local	Solar	Renewable electricity exported to grid	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emissions	Included	Stationary Energy	Commercial	Local	Solar	Renewable electricity imported from grid	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1899	-1899	-1899	-14794	-14794	-14794	-14794	-14794	-14794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	46	46	46	46	46	46
emissions	Included	Stationary Energy	Commercial	Local	Wind	Renewable electricity imported from grid	0	10.9	3501	3018	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-13846	-13846	-13846	-13846	-13846	-13846	3018	3018	3018	3018	3018	3018	3018	3018	3018	3018	3018	3018	11	11	11	11	11	11	54	54	54	54	54	54
emissions	Included	Stationary Energy	Commercial	Local	Biomass	Renewable electricity imported from grid	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-89	-89	-89	-3497	-3497	-3497	-3497	-3497	-3497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	11	11	11	11
emissions	Included	Stationary Energy	Industrial	Local	Electricity	Industrial processes	1982	6.2	0	1709	MWh	1982	2022	2063	2104	2146	2189	2233	2277	2323	2369	2417	2465	1982	2022	2063	2104	2146	2189	2233	2277	2323	2369	2417	2465	1709	1743	1778	1814	1850	1887	1925	1963	2002	2042	2083	2125	6	6	6	7	7	7	7	7	7	7	8	8
emissions	Included	Stationary Energy	Industrial	Local	Electricity	Industrial sector Electric Vehicle Charging	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	5	5
emissions	Included	Stationary Energy	Industrial	Local	Gas (mains)	Industrial processes	24	0	0	0	TJ	24	24	25	25	25	26	27	27	28	28	29	29	24	24	25	25	25	26	27	27	28	28	29	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emissions	Included	Stationary Energy	Industrial	Local	Gas (bottled)	Industrial processes	0	0	0	0	TJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emissions	Included	Stationary Energy	Industrial	Local	Solar	Renewable electricity consumed on site	0	2.4	758	653	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	653	653	653	653	653	653	653	653	653	653	653	653	2	2	2	2	2	2	2	2	2	2	2	2
emissions	Included	Stationary Energy	Industrial	Local	Solar	Renewable electricity exported to grid	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emissions	Included	Stationary Energy	Industrial	Local	Solar	Renewable electricity imported from grid	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-176	-176	-176	-1368	-1368	-1368	-1368	-1368	-1368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	4	4	4	4	4
emissions	Included	Stationary Energy	Industrial	Local	Wind	Renewable electricity imported from grid	0	1	313	270	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1280	-1280	-1280	-1280	-1280	-1280	270	270	270	270	270	270	270	270	270	270	270	270	1	1	1	1	1	1	5	5	5	5	5	5
